이름,플랫폼,작가,그림,장르,상태,요일,조회수,별점,총화수,무료,무료주기,키워드,줄거리,첫화링크
마녀의 딸이 남주의 저주를 풀면,kakaopage,,마루코믹스,로판,연재중,월,130.6만,9.8,54,3,1일,"로맨스판타지,빙의물,성장물,우연한만남,운명,까칠남,능글남,직진남,츤데레남,외유내강,엉뚱발랄녀,능력녀,라이벌/앙숙,쌍방삽질,로맨틱코미디","남주에게 야수가 되는 저주를 건 마녀의 수양딸로 빙의해버렸다마녀와 함께 남주를 괴롭히다가 죽고 싶지는 않으니,남주를 지극정성으로 보살폈는데…""부탁이야, 나를 두고 가지 마""""네, 네?""""네가 그랬잖아 네 말만 잘 들으면 먹여주고, 재워주고, 잡아먹어 주겠다고네가 나를 버린 후에도 나는 그 말만 생각하며 버텼어""버려요? 제가요? 누구를요?한 마리 흑표범 같은 남주가 내게 애원을 하며 매달리기 시작했다",https://page.kakao.com/content/62517832
계약하시겠습니까?,kakaopage,슬픈돌망구,지뚱,드라마,시즌 휴재,월,125.9만,9.7,50,3,3시간,"현대물,일상물,복수,성장물,영혼체인지/빙의,가족,BJ,남주중심,분량많은,스릴 넘치는,이야기중심","""회장님을 위한 일입니다 문제가 됩니까?""이 말이 비수가 되어 돌아왔다그리고 그날, 난 죽었다그리고 난 다시 살아났다대한민국 최고의 부동산 투자 회사의 이사였던 윤석에서 은둔형 외톨이이자 돼지인 김동규로좌절도 잠시, 복수를 발판 삼아 다시 일어났다기다려 나를 죽인 대가를 톡톡히 치르게 해줄 테니까오늘도 난 윤석으로서 계획하고, 김동규로서 실행에 옮긴다복수를 위해서",https://page.kakao.com/content/62589714
전직 성녀와 흑막의 비밀 연애,kakaopage,49,연아,로판,일시적 휴재,월,137.4만,9.8,46,3,3시간,,"평범하게 살아가던 휴학생 김지연,그녀는 친구가 보여주었던 로맨스 소설 <성녀의 꽃>에 빙의를 하게 된다 절반밖에 읽지 못한 소설 속에 등장했던 아이올라라는 소녀 성녀인게 분명한 여주인공과 남주인공의 로맨스 속 세계는 자신의 것은 아니다  그래도 소설 속의 인물이 되었으니 행복할 수 있으리라 생각했다 소설 속의 주인공이 된 것처럼 그렇게 하지만 모두가 그녀에게 증오를 던진다 혐오를 말한다여주인공을 괴롭히는 악녀이자 가짜 성녀인 아이올라라고 그러나 아니었다 바로, 아이올라 그녀가 진정한 성녀였다 신의 축복으로 다시 되돌아간 처음의 시작 그녀는 가족도, 증오하는 사람들도, 성녀의 자리도, 사랑했던 약혼자도 다 필요 없었다 과거와는 다른 길을 걸을 것이다""이 세계가 나를 악녀로 만들려고 해도 상관없어난 반드시 살아남아 행복해질 테니까""",https://page.kakao.com/content/62830664
레벨업 못하는 플레이어,kakaopage,앵무새,스튜디오 크힛,판타지,연재중,월,"4,484.9만",9.9,148,4,3시간,"게임,차원이동,복수,탑등반,먼치킨,노력,성장,아티팩트,고인물,검사,이능력,플레이어","18세의 나이에 '플레이어'로 각성한 김기규'탑'을 오르고 '게이트'를 닫으며 인생이 탄탄대로일 줄 알았는데튜토리얼을 아무리 클리어해도 레벨11일 1고블린을 해도 레벨15년이 지나도 레벨1""누가 알았겠냐고, 이런 플레이어가 있는지""그 누구도 몰랐다탑을 뒤흔들 레벨1의 역대급 반전 능력을",https://page.kakao.com/content/56611441
뽑기로 강해진 SSS급 헌터,kakaopage,개작가,윤석준,판타지,연재중,월,899.5만,9.8,99,4,3시간,"게임,성장,이능력,초능력,플레이어","전 재산을 쏟아부어 헌터로 각성했는데…전투형 스킬 하나 없는 소통, 인내, 게임 탤런트뿐이라고?헌터 사무소 영업직 인생은 이제 그만 살고 싶다고간절히 바라면 이루어지는가인생 최악의 날, 우주로부터 최강의 스킬을 얻었다클래스를 뒤집는 운빨 갓겜이 시작된다<뽑기로 강해진 SSS급 헌터>",https://page.kakao.com/content/57925268
가짜는 진짜가 되기를 바라지 않는다,kakaopage,소은,DIDIYA,로판,연재중,월,771만,9.8,66,3,3시간,"로맨스판타지,먼치킨,회귀물,운명,천재,까칠남,다정남,순정남,츤데레남,오만남,능력녀,무심녀,걸크러쉬,철벽녀,상처녀","""내 자리는, 처음부터 없었구나…""가짜 공녀라 손가락질 받으면서도 가족들의 인정을 받기 위해 헌신했지만,모두에게 배신 당한 프시케는 진짜 공녀를 살해하려 했다는 누명을 쓴 채 죽음을 맞는다'내게 다음 생이 주어진다면, 절대로 이렇게 살지 않을 것이다'마지막 순간 떠올린 생각 덕이었을까프시케가 눈을 뜨자 진짜 공녀가 돌아오기 전 과거로 돌아가 있었다'당신들에게 휘둘렸던 모든 시간이 후회돼'다시 주어진 삶, 운명의 굴레에서 벗어나 가문이 아닌 나 자신을 위한 삶을 살겠다",https://page.kakao.com/content/61627410
남주가 내 후원을 좋아해!,kakaopage,고라,자라개,로판,일시적 휴재,월,51.7만,9.8,40,3,3시간,"로맨스판타지,회귀물,여주판타지,레이드물,순정남,까칠남,엉뚱발랄녀,털털녀,로맨틱코미디","내가 지금까지 한 잘못이라고는시청자 수 0따리인 게임 스트리밍 방송에열심히 후원한 죄 밖에 없었다그런데 겨우 그거 가지고나한테 이런 시련을 주는 건 너무 가혹하잖아“꾸물 거릴 시간 없어”“아, 좀 기다려봐 방어구 구입하잖아요”떨어져 버렸다그것도, 내가 보던 스트리밍 방송 속으로***최지혁은 S급 던전 보상으로 나온 소원권을 노려보았다같이 들어온 헌터들을 빼돌리면서까지 얻은 아이템이었다아무리 이 아이템이 세계의 멸망을 막든,제 목숨을 걸고 얻은 아이템이건 상관없었다죽더라도 저를 비참하게 버려버린빌어먹을 성좌의 얼굴을 봐야겠다고 생각했다그런데 그 빌어먹을 성좌가 겨우20대 초반으로 보이는 여자애일 줄 누가 알았겠는가“채유라”평생 평범하고 평화롭게 살아온 그녀에게는 미안하지만안타깝게도 그는 절대 그의 성좌를 놓아줄 생각은 없었다“너에게 있어서 내가 제일 중요하다고 말해”적어도, 그가 세상의 끝을 볼 때까지는“어서”#성좌여주 #화신남주 #지갑전사여주 #환율깡패여주 #회귀남주 #악바리남주 #차원이동 #레이드물 #액션개그판타지표지",https://page.kakao.com/content/62767251
사랑받는 막내는 처음이라,kakaopage,나정,와와치,로판,연재중,월,"1,274.4만",10.0,41,3,3시간,"로맨스판타지,육아물,먼치킨,성장물,환생물,가족물,시한부,집착남,대형견남,직진남,능력녀,걸크러쉬,소꿉친구,힐링물","세계의 멸망을 막을 유일한 희망으로서모두에게 희생을 강요받는 삶만 99번째제발 이번이 끝이길 바랐는데…""아가씨가 태어나셨어요""기어코 100번째 삶을 시작하고 말았다어차피 또 영웅 취급하며 희생시키겠지그렇게 생각했는데, ""무사히 태어나줘서 고맙구나""""언니가 다 구해주께""""우리 막내 웃는 얼굴 나한테도 보여주면 안 될까?""""아기야, 나 보고 싶었어?""이번 생은 조금… 이상하다?",https://page.kakao.com/content/62897494
뒤끝작렬,kakaopage,조석호,시나브로,드라마,연재중,월,"3,597.8만",9.8,175,5,2일,"일상물,캠퍼스물,현대물,경영,복수,영혼체인지/빙의,일상,친구,기타 스포츠,사업가,학생,남주중심,이야기중심","“야, 착각하지마 난 한번도 널 동생으로 생각한 적 없어 주제를 모르고”가슴을 파고드는 비수였다 한명우명석한 두뇌와 재벌가의 자식이었다다만 하늘은 모든 걸 주지않았다불치병 수준인 선천적 심장병이를 악물고 인정받기 위해 최선 또 최선을 다했다 그러나 아버지인 회장을 비롯해 식구 그 누구도 진심으로 대하지 않았다 그러던 그가 급작스런 사고를 당했다그리고치명적인 부상을 당한 대학생 김철민의 몸으로 들어갔다 건강하다아니 건강하다못해 넘친다잘돌아가는 머리에 체력까지이제 두 마리 토끼를 잡으러 간다꼭 두 마리 토끼여야 했다",https://page.kakao.com/content/56063788
여주와 남주의 아이들을 키우게 되었습니다,kakaopage,S,"삼각, 녹이",로판,연재중,월,259.2만,9.8,41,3,1일,"로맨스판타지,육아물,오해물,빙의물,막장,가족물,상처남,후회남,차도남,상처녀,냉정녀,잔잔물,치유물,힐링물,애잔물","소중한 동생들과 사별한 '예희'는 어느 날 소설 <더 큰 행복 하나> 속 비운의 단역 '메르헨'으로 빙의한다 '메르헨'은 유산의 아픔이 가시기도 전에 남편이 한때 사랑했던 여인의 자식들을 키우게 되는 비참한 여인이다 그런 메르헨에 빙의한 '예희'는 뜻밖에도 이 아이들이 사별한 동생들임을 단번에 알아차리게 된다메르헨에겐 가혹한 현실일지라도 전생의 기억을 안고 있는 '예희'는 동생들의 환생인 아이들을 아끼고 사랑하며, 아이들을 노리는 존재로부터 목숨을 다해 지키는데소설 <더 큰 행복 하나>에 나왔듯, 나라를 수호했던 고룡 '에스카야'는 제국에 3개의 보물을 남겨 두고 떠났다 그 보물 중 하나를 아이들이 갖고 있을 거란 추측으로 위협을 받는 가운데 과연 '예희'는 남편과 함께 아이들을 지켜내고, 이 세계로 빙의한 비밀을 알아낼 수 있을까?",https://page.kakao.com/content/63216619
데모나스,kakaopage,유민,로에,로판,일시적 휴재,월,39.1만,9.6,32,3,1일,"복수물,회귀물,짝사랑,첫사랑,까칠남,순정남,연하남,츤데레남,능력녀,자상녀,걸크러쉬,후회녀,친구>연인,드라마,애잔물","전장 위를 누비는 고결한 기사,‘알테어 체르노보그’황제의 명으로 전우이자 사랑했던‘악마의 자식’ 아인 에스타로트를 죽이기 위해 전장에 나갔고,결국 그녀는 아인에게 살해당한다""아인, 미안해 이 손이 닿는 데까지 널지켜주고 싶었어""기억의 파편을 지나 저승으로 가려는 그때,눈을 떠보니 수년 전 돌아가신 아버지가 눈앞에 나타났다?거짓말처럼 어린 시절로 회귀한 알테어,그리고 생각한다'평생을 인간에게 핍박받아온 아인을유일하게 구원해낼 수 있는 기회'알테어는 아인을 지키기 위해 가문의 원수 ‘에스타로트’ 공작에게 검술 수업을 받고,비밀 도서관 잠입 / 아버지 설득하기 / 정보상과의 계약 등등…필사적으로 노력한다""아인, 나는…당신을 만나길 기다려 왔어요약속할게요, 이번 생에서는 꼭당신을 지켜내겠다고""--------------------------------*매주 월요일(일요일 22시) 연재됩니다*",https://page.kakao.com/content/63082643
배덕한 짐승을 구원해버리면 [19세 완전판],kakaopage,오랭,오랭,로판,연재중,월,385.7만,9.9,46,3,1일,"로맨스판타지,피폐물,우연한만남,소유욕/독점욕,상처남,유혹남,절륜남,평범녀,다정녀,신분차이,치유물,애잔물,대형견남,계략남,능력녀","백작가 하녀 아샤는 아픈 엄마의 약값을 벌고, 작은 동물병원을 차리는 것이 꿈이다평범한 일상을 보내던 어느 날, 아샤는 하녀장의 지목을 받아 심부름을 가게 된다그렇게 아르테 제국의 가장 어둡고, 기괴한 ‘밤의 나비’라는 거리로 가게 되는데……“꺼져 손대지 마”그곳에서 만난 너무나도 아름다운 노예 리이“저,저…… 당신을 꼭 치료할 거예요 고통스럽고 괴롭겠지만 조금만 참아주세요 꼭 낫게 해드릴게요”아샤는 상처로 몸부림치는 리이를 치유하고, 이제 건강해진 그를 보내주려 하는데“날 구한건 너야 나의 구원이자 나의 주인, 나의 아샤”그는 아샤의 곁에 함께하기로 마음먹은 것 같았다묘하게 웃는 그를 보며 아샤는 깨달았다망했다 이건 완전히 망했다분명 저 매혹적인 웃음은 이미 자신이 빠져나갈 수 없음을 예상하고 있었다[낯가림 심하고 수줍은 많은 여주, 꼼꼼하고 일 잘하는 하녀 여주, 치유마법을 부리는 여주][짐승처럼 자란 남주, 남자고 여자고 홀리는 마성의 색기를 부리는 남주, 여주 바라기 남주]",https://page.kakao.com/content/63243084
어린 흑막의 형수님이 되었다,kakaopage,"슈퍼코믹스스튜디오, 먀오",슈퍼코믹스스튜디오,로판,연재중,월,433.9만,10.0,37,3,3시간,"로맨스판타지,육아물,운명,다정남,집착남,능력녀,빙의물,회귀물,여주판타지,차원이동물,자상녀,엉뚱발랄녀,외유내강,털털녀,계약관계","기억상실증에 걸린 엑스트라에 빙의 후 우연히 아이를 구했는데, 얘가 흑막이었다……어?흑막에게는 요정의 저주 때문에 죽는 형이 있었다 그가 흑화 계기고딱한 형제들 내가 그 요정을 만나면 죽사발 내줬을 텐데, 안타깝게도 나는 엑스트라……“엘리아?”잠깐, ……그 요정이 나네?",https://page.kakao.com/content/63329316
던전 호텔에 오신 것을 환영합니다,kakaopage,,지징구,드라마,연재중,월,193.4만,9.9,26,3,3시간,"힐링물,노블코믹,여주중심,판타지물,짝사랑,현대물,사업가,경영","[클래스 : 호텔 경영자(히든)로 각성했습니다]맥x모x골x 커피가 포션이 되고,하루 묵기만 하면 체력이 회복되는 수상한 호텔이곳의 경영자로 각성해버렸다 손님은 모두 헌터, 호텔은 던전 한복판영업용 미소만 걸치면 돈이 들어오잖아?""어서 오세요, 영춘 호텔에 오신 것을 환영합니다""※예약 문의 : 02-123-4567",https://page.kakao.com/content/63629025
